
::ffff:127.0.0.1 | 2021-08-16T23:09:46.739Z | / 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.123Z | /css/styles.css 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.149Z | /css/index.css 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.191Z | /img/img-2qdmb17izksemym5m.png 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.213Z | /img/marguerita.jpg 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.214Z | /img/fracatu.jpg 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.221Z | /img/img-2qdmb17hyksemxc8f.png 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.267Z | /img/pepperoni.jpg 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.331Z | /img/calabresa.jpg 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.357Z | /img/img-2qdmbrtrks859yta.png 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.358Z | /img/img-2qdmbrthks85955e.png 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.360Z | /img/quatroqueijos.jpg 
::ffff:127.0.0.1 | 2021-08-16T23:09:47.367Z | /img/bg.jpeg 
::ffff:127.0.0.1 | 2021-08-17T00:08:09.637Z | / 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.123Z | /css/styles.css 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.278Z | /css/index.css 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.282Z | /img/img-2qdmb17izksemym5m.png 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.283Z | /img/img-2qdmb17hyksemxc8f.png 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.285Z | /img/quatroqueijos.jpg 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.287Z | /img/marguerita.jpg 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.288Z | /img/fracatu.jpg 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.291Z | /img/calabresa.jpg 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.305Z | /img/pepperoni.jpg 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.305Z | /img/img-2qdmbrthks85955e.png 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.307Z | /img/img-2qdmbrtrks859yta.png 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.585Z | /img/bg.jpeg 
::ffff:127.0.0.1 | 2021-08-17T00:08:10.658Z | /favicon.ico 
::ffff:127.0.0.1 | 2021-08-17T00:08:16.258Z | /pizzas/2 
::ffff:127.0.0.1 | 2021-08-17T00:08:16.337Z | /css/styles.css 
::ffff:127.0.0.1 | 2021-08-17T00:08:16.338Z | /css/pizza.css 
::ffff:127.0.0.1 | 2021-08-17T00:08:16.349Z | /img/pepperoni.jpg 
::ffff:127.0.0.1 | 2021-08-17T00:08:16.383Z | /img/bg.jpeg 
::ffff:127.0.0.1 | 2021-08-17T00:09:04.348Z | /pizzas/1 
::ffff:127.0.0.1 | 2021-08-17T00:09:04.495Z | /css/styles.css 
::ffff:127.0.0.1 | 2021-08-17T00:09:04.496Z | /css/pizza.css 
::ffff:127.0.0.1 | 2021-08-17T00:09:04.510Z | /img/calabresa.jpg 
::ffff:127.0.0.1 | 2021-08-17T00:09:04.524Z | /img/bg.jpeg 
